split,row_index,true_label,true_class,sample_category,is_clean,is_strict_clean,jaccard_layer_1,overlap_k_layer_1,routing_divergence_layer_1,jaccard_layer_2,overlap_k_layer_2,routing_divergence_layer_2,jaccard_layer_3,overlap_k_layer_3,routing_divergence_layer_3,jaccard_layer_4,overlap_k_layer_4,routing_divergence_layer_4,jaccard_layer_5,overlap_k_layer_5,routing_divergence_layer_5
public,2,4,Sad,V21_CORRECT_V22_WRONG,True,True,0.3984678089618683,0.5221088528633118,0.6015321910381317,0.394923597574234,0.540603756904602,0.605076402425766,0.3448244035243988,0.4842686951160431,0.6551755964756012,0.20380133390426636,0.32185372710227966,0.7961986660957336,0.45857736468315125,0.6147959232330322,0.5414226353168488
public,20,2,Fear,V22_CORRECT_V21_WRONG,True,True,0.37578558921813965,0.5012754797935486,0.6242144107818604,0.3705131411552429,0.5165815949440002,0.6294868588447571,0.2220972776412964,0.34417515993118286,0.7779027223587036,0.2691037058830261,0.3996598422527313,0.7308962941169739,0.3180983066558838,0.4712302088737488,0.6819016933441162
public,25,2,Fear,V21_CORRECT_V22_WRONG,True,True,0.4464821219444275,0.5722789168357849,0.5535178780555725,0.3314133584499359,0.47427719831466675,0.6685866415500641,0.297537237405777,0.42963433265686035,0.702462762594223,0.262081116437912,0.3898809552192688,0.737918883562088,0.34949421882629395,0.5004251599311829,0.650505781173706
public,28,0,Angry,V21_CORRECT_V22_WRONG,True,True,0.4134456515312195,0.5625,0.5865543484687805,0.3634994924068451,0.5148809552192688,0.6365005075931549,0.33140528202056885,0.4866071343421936,0.6685947179794312,0.252278596162796,0.3788265287876129,0.747721403837204,0.40086591243743896,0.5653344988822937,0.599134087562561
public,34,0,Angry,V22_CORRECT_V21_WRONG,True,True,0.3731473982334137,0.5029761791229248,0.6268526017665863,0.34611111879348755,0.5017006993293762,0.6538888812065125,0.30422088503837585,0.43707481026649475,0.6957791149616241,0.2383393496274948,0.3609693944454193,0.7616606503725052,0.2994813323020935,0.4535147547721863,0.7005186676979065
public,35,4,Sad,V21_CORRECT_V22_WRONG,True,False,0.3533291518688202,0.4664115607738495,0.6466708481311798,0.38431090116500854,0.5367771983146667,0.6156890988349915,0.2903650104999542,0.420918345451355,0.7096349895000458,0.26171666383743286,0.3964710831642151,0.7382833361625671,0.3164523243904114,0.47179707884788513,0.6835476756095886
public,44,6,Neutral,V22_CORRECT_V21_WRONG,True,True,0.3427613079547882,0.4710884392261505,0.6572386920452118,0.28767311573028564,0.4270833134651184,0.7123268842697144,0.19346219301223755,0.3093112111091614,0.8065378069877625,0.3294161260128021,0.47045066952705383,0.6705838739871979,0.3212263584136963,0.46981295943260193,0.6787736415863037
public,49,6,Neutral,V21_CORRECT_V22_WRONG,True,True,0.3757062256336212,0.5042517185211182,0.6242937743663788,0.3276652693748474,0.4755527079105377,0.6723347306251526,0.25916412472724915,0.3979591727256775,0.7408358752727509,0.2742283344268799,0.40667515993118286,0.7257716655731201,0.37093687057495117,0.5284863710403442,0.6290631294250488
public,58,5,Surprise,V22_CORRECT_V21_WRONG,True,True,0.38012269139289856,0.4961734712123871,0.6198773086071014,0.3482179641723633,0.49234694242477417,0.6517820358276367,0.2629738450050354,0.40051019191741943,0.7370261549949646,0.3006795048713684,0.4389880895614624,0.6993204951286316,0.35385146737098694,0.5134637355804443,0.6461485326290131
public,68,2,Fear,V22_CORRECT_V21_WRONG,True,True,0.4054846167564392,0.5471938848495483,0.5945153832435608,0.41580188274383545,0.5686649680137634,0.5841981172561646,0.25000330805778503,0.3732993006706238,0.749996691942215,0.22212031483650208,0.34502550959587097,0.7778796851634979,0.3268541097640991,0.484127014875412,0.6731458902359009
