direction,sample_category,split,row_index,true_label,true_class,is_clean,is_strict_clean,f00_pred,f00_correct,f00_margin,f01_pred,f01_correct,f01_margin,f10_pred,f10_correct,f10_margin,f11_pred,f11_correct,f11_margin,cos_same_node_diff_readout,cos_diff_node_same_readout
dir_A,V21_CORRECT_V22_WRONG,public,2,4,Sad,True,True,0,False,-0.3757164478302002,0,False,-0.535858154296875,0,False,-1.7562874555587769,4,True,1.5792268514633179,0.5515175461769104,0.7712792158126831
dir_A,V21_CORRECT_V22_WRONG,public,25,2,Fear,True,True,0,False,-2.181380271911621,0,False,-1.0146443843841553,2,True,1.526953935623169,6,False,-0.5844916701316833,0.6176714897155762,0.4950850009918213
dir_A,V21_CORRECT_V22_WRONG,public,28,0,Angry,True,True,6,False,-2.8190207481384277,3,False,-3.034308910369873,0,True,4.429383754730225,0,True,2.9489974975585938,0.5894325971603394,0.220881849527359
dir_A,V21_CORRECT_V22_WRONG,public,35,4,Sad,True,False,2,False,-3.9271254539489746,2,False,-1.082352876663208,0,False,-1.746534824371338,4,True,0.5033869743347168,0.6053063869476318,0.40500593185424805
dir_A,V21_CORRECT_V22_WRONG,public,49,6,Neutral,True,True,0,False,-1.77608323097229,0,False,-1.7424346208572388,2,False,-0.5992469787597656,6,True,1.0581746101379395,0.6876183748245239,0.5407684445381165
dir_A,V21_CORRECT_V22_WRONG,public,70,0,Angry,True,True,6,False,-0.7773019075393677,6,False,-0.9286501407623291,0,True,1.3172543048858643,0,True,1.0859342813491821,0.5153927206993103,0.5460143685340881
dir_A,V21_CORRECT_V22_WRONG,public,79,4,Sad,True,True,2,False,-0.4732997417449951,4,True,2.6211135387420654,4,True,2.4016001224517822,4,True,2.6884765625,0.6214361190795898,0.6987835764884949
dir_A,V21_CORRECT_V22_WRONG,public,140,6,Neutral,True,True,0,False,-2.8402881622314453,0,False,-1.7174968719482422,6,True,3.119990110397339,6,True,1.6311534643173218,0.6520373821258545,0.5535250306129456
dir_A,V21_CORRECT_V22_WRONG,public,145,6,Neutral,True,True,4,False,-1.456892728805542,4,False,-1.8595348596572876,4,False,-0.553095817565918,6,True,0.10111284255981445,0.4917259216308594,0.3693065643310547
dir_A,V21_CORRECT_V22_WRONG,public,156,4,Sad,True,True,2,False,-0.20743727684020996,4,True,3.346402168273926,4,True,1.958413004875183,4,True,2.928122043609619,0.5885064601898193,0.8200563788414001
dir_A,V21_CORRECT_V22_WRONG,public,160,0,Angry,True,True,4,False,-1.9672796726226807,4,False,-0.24283623695373535,0,True,0.9726704359054565,0,True,0.8364527225494385,0.5915865302085876,0.6355070471763611
dir_A,V21_CORRECT_V22_WRONG,public,200,3,Happy,True,True,6,False,-1.7480970621109009,3,True,0.6432340145111084,3,True,2.205878496170044,3,True,2.3657751083374023,0.7176336050033569,0.8896863460540771
dir_A,V21_CORRECT_V22_WRONG,public,224,0,Angry,True,True,2,False,-0.23950552940368652,2,False,-0.8409585952758789,2,False,-0.741722822189331,0,True,0.4809699058532715,0.6388936042785645,0.7525903582572937
dir_A,V21_CORRECT_V22_WRONG,public,234,3,Happy,True,True,4,False,-0.8447655439376831,4,False,-0.7644344568252563,4,False,-0.4059791564941406,3,True,0.677281379699707,0.5636502504348755,0.6386594176292419
dir_A,V21_CORRECT_V22_WRONG,public,237,0,Angry,True,True,2,False,-2.055410623550415,4,False,-0.34755605459213257,0,True,0.14307236671447754,0,True,0.0852348804473877,0.6246511936187744,0.4357098340988159
dir_A,V21_CORRECT_V22_WRONG,public,255,6,Neutral,True,True,3,False,-3.649486541748047,3,False,-3.161471128463745,6,True,1.9272135496139526,6,True,2.638320207595825,0.6585716605186462,0.42373597621917725
dir_A,V21_CORRECT_V22_WRONG,public,271,6,Neutral,True,True,4,False,-3.1156246662139893,4,False,-2.0658740997314453,4,False,-0.711179256439209,6,True,1.128737211227417,0.5881687998771667,0.7647902369499207
